Batch	Flag	MMS	OCLC	Details	Title
	CHECK-ENCODING	99383850004306576	(OCoLC)1084435628	Encoding level: i	The catalogue of shipwrecked books : Christopher Columbus, his son, and the quest to build the world's greatest library / Edward Wilson-Lee.
	CHECK-Series490-traced	99383850078606576	(OCoLC)1242599067	Series statement (traced): Potsdamer altertumswissenschaftliche Beiträge ;Band 75	
	CHECK-Series490-traced	99383850078606576	(OCoLC)1242599067	Series statement (traced): Classics	
	CHECK-MultipleSeries490	99383850078606576	(OCoLC)1242599067	Check Bib record	Engendering the future : divination and the construction of gender in the Late Roman Republic / Chris Mowat.
	CHECK-ENCODING	99383850102706576	(OCoLC)1137859033	Encoding level: i	The selected works of Audre Lorde / edited and with an introduction by Roxane Gay.
	CHECK-ENCODING	99383853402606576	(OCoLC)1057761437	Encoding level: 0	Residual futures : the urban ecologies of literary and visual media of 1960s and 1970s Japan / Franz Prichard.
	CHECK-Series490-traced	99383853402606576	(OCoLC)1057761437	Series statement (traced): Studies of the Weatherhead East Asian Institute, Columbia University	
	CHECK-Series490-traced	99383853404506576	(OCoLC)1372624298	Series statement (traced): Black Lives in the diaspora : Past/present/future	
	CHECK-100-INDICATOR	99383853405106576	(OCoLC)1371466031	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383853405106576	(OCoLC)1371466031	245 Ind1: 0	Black women in Latin America and the Caribbean : critical research and perspectives / edited by Melanie A. Medeiros and Keisha-Khan Y. Perry.
	CHECK-100-INDICATOR	99383853505006576	(OCoLC)1345460648	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383853505006576	(OCoLC)1345460648	245 Ind1: 0	Whose America? : U.S. immigration policy since 1980 / edited by Maria Cristina Garcia and Maddalena Marinari.
	CHECK-Series490-traced	99383853505106576	(OCoLC)1377217639	Series statement (traced): Intersections : histories of environment, science, and technology in the anthropocene	
	CHECK-ENCODING	99383856083806576	(OCoLC)08265428	Encoding level: 0	1984 : a novel / by George Orwell ; with an afterword by Erich Fromm.
	EDIT-Series490-untraced	99383856083806576	(OCoLC)08265428	Series statement (untraced): A Signet classic ;CE 1626	
	CHECK-Series490-traced	99383857302506576	(OCoLC)1355042410	Series statement (traced): The Sheng yen series in Chinese Buddhist studies	
	CHECK-ENCODING	99383864981806576	(OCoLC)946058566	Encoding level: 0	Dune / Frank Herbert ; series introduction by Neil Gaiman.
	CHECK-Series490-traced	99383864981806576	(OCoLC)946058566	Series statement (traced): Penguin galaxy	
	CHECK-ENCODING	99383864982406576	(OCoLC)793578925	Encoding level: 0	Journey to the center of the Earth ; Twenty thousand leagues under the sea ; Round the world in eighty days / Jules Verne ; with an introduction by Tim Farrant.
	CHECK-Series490-traced	99383864982406576	(OCoLC)793578925	Series statement (traced): Everyman's library ;351	
	CHECK-ENCODING	990201877660306576	(OCoLC)09326461	Encoding level: a	Second-hand knowledge : an inquiry into cognitive authority / Patrick Wilson.
	CHECK-Multi050	990201877660306576	(OCoLC)09326461	050-1: BD175.W55 1983 050-2: BD175.W55	Second-hand knowledge : an inquiry into cognitive authority / Patrick Wilson.
	Has_$5	990201877660306576	(OCoLC)09326461	Field with $5 :500	
	EDIT-440	990201877660306576	(OCoLC)09326461	Series, obsolete field: Contributions in librarianship and information science,0084-9243 ;no. 44	
	EDIT-440	990201877660306576	(OCoLC)09326461	Series, obsolete field: Contributions in librarianship and information science ;no. 44	
	CHECK-ENCODING	990226875230306576	(OCoLC)262426528	Encoding level: 0	The big sort : why the clustering of like-minded America is tearing us apart / Bill Bishop ; with Robert G. Cushing.
	Has_$5	990226875230306576	(OCoLC)262426528	Field with $5 :500	
	Has_$5	990226875230306576	(OCoLC)262426528	Field with $5 :505	
	CHECK-ENCODING	990257443610306576	(OCoLC)65361042	Encoding level: 0	Plague and the end of antiquity : the pandemic of 541-750 / edited by Lester K. Little.
	Has_$5	990257443610306576	(OCoLC)65361042	Field with $5 :505	
	Has_$5	990257443610306576	(OCoLC)65361042	Field with $5 :505	
	Has_$5	990257443610306576	(OCoLC)65361042	Field with $5 :505	
	CHECK-ENCODING	990282506030306576	(OCoLC)50997820	Encoding level: 0	Atlas shrugged / Ayn Rand.
	Has_$5	990282506030306576	(OCoLC)50997820	Field with $5 :500	
	Has_$5	990282506030306576	(OCoLC)50997820	Field with $5 :500	
	CHECK-ENCODING	990294171420306576	(OCoLC)51393338	Encoding level: a	"Why are all the Black kids sitting together in the cafeteria?" : and other conversations about race / Beverly Daniel Tatum.
	CHECK-ENCODING	990318633340306576	(OCoLC)823387331	Encoding level: i	Two boys kissing / David Levithan.
	Has_$5	990318633340306576	(OCoLC)823387331	Field with $5 :586	
	CHECK-ENCODING	990337942940306576	(OCoLC)904047318	Encoding level: 0	Yayoi Kusama : inventing the singular / Midori Yamamura.
	EDIT-245Ind1	990338696750306576	(OCoLC)899266122	245 Ind1: 0	Bright dead things : poems / by Ada Limón.
	CHECK-ENCODING	990381884050306576	(OCoLC)944077309	Encoding level: i	Toms, coons, mulattoes, mammies, and bucks : an interpretive history of Blacks in American films / Donald Bogle.
